major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	act	acting	4	0	0	0	0	0	0	0	4	4	4	4	4	4	4	2	3	4	2	4	4	4	4	3	3	4	3	2	2	4	4	1	0	2	3	1	2	2	0	2	0	0	1	0	0	0	0	0
	act	ACTING	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	3	1	4	3	3	2	3	0	3	2	0	2	0	1	4	0	1	2	0	1	0	0	1	0	0	1	1	1	0	0	1
	act	acting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	act	Acting	1	0	0	2	0	2	0	0	3	4	3	2	3	3	3	1	3	4	0	3	4	3	3	3	1	1	0	1	1	1	2	1	1	1	0	0	0	0	1	2	0	1	0	0	2	0	0	0
	act	acting	3	0	0	3	1	1	1	0	0	2	2	0	1	2	0	2	3	3	4	4	2	4	3	4	1	4	4	2	3	3	3	3	1	1	4	1	3	2	1	3	1	3	2	2	2	2	2	1
	act	Acting 	0	0	1	1	0	1	0	0	1	3	1	0	0	1	2	0	0	1	2	4	1	3	4	3	2	3	3	3	4	4	4	4	0	1	0	4	0	2	3	4	2	0	0	1	0	0	2	2
	act	Acting	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	3	3	2	4	3	2	3	0	2	2	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0
	act	Acting	0	0	0	0	0	0	0	0	3	4	3	0	0	1	0	2	1	4	0	3	4	2	2	1	4	3	4	4	4	2	2	2	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1
	act	Acting	0	0	0	0	0	0	0	3	0	2	2	2	0	0	0	0	0	4	4	2	4	2	4	4	2	0	1	0	2	0	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
	act	Acting	1	1	0	1	0	1	0	0	3	4	2	3	1	3	1	2	3	4	3	4	4	3	3	3	3	4	4	3	4	3	3	3	0	0	1	2	3	0	0	3	0	0	0	0	1	0	0	0
	act	acting	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3	2	3	0	1	3	0	1	0	2	3	4	3	0	0	0	0	0	0	0	3	4	0	3	3	0	0	0	0	0
	act	Acting	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	3	4	4	4	4	4	3	1	3	2	1	1	1	0	0	1	1	2	2	3	1	3	3	3	3	1	0	1	0	1	2	0	1
	act	Acting	0	0	1	0	0	0	0	0	4	4	4	4	4	4	4	0	0	2	0	1	4	3	0	4	1	3	4	1	4	0	0	3	0	0	1	0	4	0	0	1	0	0	0	4	0	0	0	0
	act	Acting	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	2	4	0	0	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
	act	Acting	0	3	0	3	2	3	0	3	3	3	3	1	3	3	3	3	2	4	2	3	3	4	4	4	3	3	3	4	3	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
	act	Acting	0	0	0	0	0	0	0	0	3	4	4	0	3	4	3	3	3	4	3	4	4	4	2	3	1	4	4	2	4	4	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	act	Acting	1	3	1	3	0	2	2	0	3	3	3	3	3	3	2	3	4	4	4	4	4	4	4	4	2	3	3	3	3	2	4	2	1	1	2	2	1	1	2	1	0	0	1	0	0	1	0	0
	act	Acting	1	0	0	0	0	0	0	0	2	2	2	0	0	1	0	0	1	3	1	1	4	1	4	2	1	0	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
	act	Acting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	4	4	4	4	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4
	act	Acting	0	0	0	1	0	0	0	0	3	2	1	0	0	2	3	1	3	4	4	3	2	4	2	3	0	3	2	3	1	4	3	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0
	act	Acting	4	4	0	2	3	0	3	2	4	4	4	2	3	4	3	4	0	2	4	1	2	2	4	3	4	4	2	2	4	4	4	4	0	4	0	0	0	2	4	4	0	3	2	3	4	2	0	4
	act	Acting	1	1	1	0	0	3	0	0	4	3	2	0	3	3	1	1	4	4	2	4	4	4	4	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
	act	acting	3	1	0	1	2	1	2	2	2	2	2	2	1	2	2	1	3	2	2	3	2	3	4	3	2	4	3	2	4	2	4	2	2	3	2	3	2	2	2	2	2	3	2	2	2	3	2	2
	act	acting	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	1	3	3	3	2	2	1	0	2	1	3	0	0	0	0	0	2	3	1	2	1	0	0	0	0	0	0	0	0	0
	act	Acting	0	0	0	1	0	0	0	0	1	3	1	0	1	2	1	3	1	3	3	4	4	3	4	3	2	3	3	3	3	3	4	1	1	2	2	3	0	0	2	3	1	2	2	1	2	1	1	2
	act	acting	1	0	0	2	1	0	1	0	0	0	0	1	0	0	2	0	2	4	4	3	4	2	4	4	4	3	4	1	4	4	2	2	0	2	3	4	4	4	1	1	1	1	2	2	2	2	0	0
	act	Acting	2	3	0	2	1	3	1	3	3	3	2	2	1	3	1	2	4	4	4	4	4	4	4	4	2	2	2	4	3	2	2	2	2	3	2	2	2	3	4	3	1	1	1	1	0	0	0	1
	act	Acting	0	2	0	0	0	0	0	0	2	3	2	3	2	3	2	2	2	4	3	4	4	4	3	3	1	3	4	2	4	4	4	2	1	1	2	2	1	2	3	2	0	0	0	1	1	0	0	0
	act art	Acting / Arts 	1	1	1	1	0	1	0	1	2	1	2	2	1	1	1	0	3	4	1	3	4	3	3	3	1	3	2	3	3	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	0
	act creativ write	Acting, Creative Writing	1	3	2	2	2	3	1	2	2	3	2	1	2	2	2	3	3	4	4	4	4	4	4	4	4	2	3	3	3	3	3	2	1	1	3	3	1	2	1	2	0	2	1	1	3	2	1	1
	act entertain	Acting and Entertainment	2	1	2	1	1	2	1	1	1	3	2	1	2	3	2	1	3	3	3	3	3	3	3	3	3	2	2	3	1	2	2	2	3	1	3	2	3	3	3	3	2	1	1	1	1	1	1	2
	actor	actor	4	4	4	4	4	3	4	4	3	3	3	4	1	2	1	4	4	4	4	4	1	4	4	4	4	3	4	3	4	4	4	4	3	4	3	1	4	4	4	4	4	4	3	3	3	2	4	4
	actor	actor	2	1	1	3	1	1	0	1	3	3	3	3	3	3	3	3	3	4	1	3	2	3	4	3	1	1	0	3	1	1	0	0	2	2	3	3	2	3	3	3	2	1	2	2	1	1	1	1
	actor archetict	actor,archetict	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	4	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0
	actor train	Actor Training	0	3	0	1	2	3	1	3	3	3	2	1	2	3	1	1	3	4	3	4	4	2	4	4	2	3	4	3	4	3	3	3	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	0
	actor train	Actor Training	2	3	0	1	2	3	2	3	3	4	3	3	1	3	2	2	4	4	4	4	4	4	4	4	4	3	4	2	4	3	3	3	0	0	2	2	2	0	1	1	1	1	0	1	0	1	0	1
	actori	Actory	1	0	1	3	1	1	1	0	1	2	2	2	1	1	1	0	2	3	3	3	3	3	3	3	2	2	3	3	3	3	1	2	1	2	3	3	3	3	2	2	1	1	2	2	1	3	1	1
	addict	Addiction Studies	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	0	0	0	0	2	2	0	0	0	2	3	4	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	addict	Addiction Studies	3	3	1	1	1	2	1	2	3	3	3	4	3	2	1	1	1	2	3	3	4	3	3	1	4	3	4	4	4	3	3	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1
	addict	Addiction Studies	0	0	0	0	0	0	0	0	2	3	3	2	3	3	2	0	2	3	0	3	3	3	3	1	3	3	4	2	4	4	4	1	0	1	0	2	0	1	2	1	0	1	0	2	0	0	0	0
	addict	Addictions 	0	1	3	3	2	3	2	1	3	3	3	3	2	3	2	3	1	1	3	3	2	4	1	3	3	4	4	2	4	0	4	4	3	1	3	3	3	3	1	3	1	2	3	2	3	0	1	0
	addict mental health	Addiction and Mental Health	2	2	1	2	2	1	2	0	2	3	2	1	1	2	2	2	1	0	0	0	0	4	0	0	3	3	4	3	4	2	1	2	0	0	0	0	3	0	0	0	3	2	3	3	0	1	0	2
	adiministração de empresa	Adiministração de empresas	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	4	4	4	4	4	4	0	0	4	4	2	2	2	2	4	0	0	2	4	4	4	0	0	0	2	0	2	4	2	2	2	2
	admini	adminis	4	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	2	1	2	1	1	3	0	1	4	3	3	3	2	2	1	3	0	0	3	2	4	1	1	1	3	1	3	3	2	2	4	3
	adminst justic	adminstation of justice	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	4	1	1	2	1	1	1	1	2	2	4	1	4	3	3	3	1	0	4	1	4	4	1	3	2	2	2	3	1	1	1	3
	adminstr secretari	Adminstrative Secretarial	1	2	0	4	0	0	3	0	3	3	3	0	0	3	0	0	0	0	4	3	4	0	0	4	3	3	3	2	4	4	3	4	2	4	4	0	4	4	4	4	1	1	2	4	1	4	0	3
	adminstracao	adminstracao	4	2	3	3	2	2	2	1	0	2	2	2	3	2	2	1	0	1	0	2	0	2	2	1	4	2	2	4	2	4	3	4	2	3	4	2	4	4	3	3	2	3	4	4	2	2	4	4
	admintaion justic	Admintaion of justice	2	2	2	2	2	2	3	1	4	4	4	4	2	4	4	3	2	4	4	4	2	3	4	4	3	3	4	4	3	3	4	3	2	0	3	3	2	4	4	3	2	3	2	2	1	2	3	2
	admistraçao	admistraçao	2	2	0	2	0	1	0	0	4	2	3	0	0	3	1	0	2	1	4	2	4	4	3	0	0	3	0	1	2	1	0	0	0	0	0	4	0	0	2	0	0	2	0	2	0	2	0	1
	admistração	admistração	4	1	0	0	0	2	1	2	3	3	3	2	2	2	2	0	2	2	3	1	3	3	3	3	4	2	1	3	4	2	3	1	1	1	1	2	3	3	2	2	0	0	0	0	1	3	1	1
	admnistração	Admnistração	4	0	1	4	2	1	1	0	2	1	1	4	3	1	1	0	0	4	3	2	4	2	1	2	4	4	3	4	4	4	4	2	2	4	4	2	4	4	2	1	2	2	4	2	2	2	4	1
	adpr	ADPR	2	0	0	1	0	0	0	0	2	2	1	2	1	2	1	0	3	4	2	2	4	1	1	4	3	3	1	1	2	1	2	2	0	1	2	3	3	2	0	2	0	2	1	2	0	0	1	0
	adsfdsa	adsfdsa	0	2	1	2	2	2	3	3	0	2	3	3	3	1	2	4	1	2	3	3	2	2	1	3	2	1	3	2	2	3	0	2	1	2	2	2	2	4	1	1	1	2	2	1	2	4	2	1
	adult develop	Adult development	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	2	3	4	4	4	0	3	4	2	1	3	3	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aerodynam	Aerodynamics	2	2	4	4	0	4	0	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	2	4	0	2	0	2	2	2	0	4	0	0	2	0	4	2	0	4	0	0	0	0	0	0
	aerodynam	Aerodynamics	4	2	0	3	1	1	2	1	0	1	0	1	1	0	0	1	0	1	0	2	2	1	1	1	1	4	1	1	2	1	2	2	1	2	1	0	1	1	0	1	1	2	2	1	1	2	1	1
	aeronaut	Aeronautical	4	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
	aeronaut	aeronautics	4	2	2	4	2	3	4	1	3	2	2	0	1	2	1	2	0	0	1	1	0	0	2	0	2	2	2	3	2	2	2	2	1	1	1	1	4	1	3	1	1	2	2	3	3	3	3	3
	aeronaut	aeronautics	4	4	0	2	1	4	3	3	1	0	1	0	0	0	0	0	0	0	1	3	0	4	0	0	3	0	3	4	4	0	0	3	1	0	0	2	1	0	3	0	2	2	2	2	2	3	1	2
	aeronaut	Aeronautics	2	2	3	1	0	1	0	0	4	3	4	4	4	3	4	4	4	4	3	4	4	4	2	1	4	3	3	2	3	1	2	1	2	1	2	2	2	1	0	1	0	0	2	0	2	2	0	0
	aeronaut	aeronautics	0	3	3	4	2	3	3	2	2	1	0	2	1	0	1	3	2	3	2	3	1	4	0	0	3	0	0	0	0	0	1	0	0	1	3	0	4	0	3	0	0	2	4	3	3	3	2	3
	aeronaut	Aeronautics	0	0	1	2	0	2	1	0	2	3	2	0	2	2	2	3	2	1	2	2	2	3	2	3	1	0	0	1	0	0	0	0	0	0	1	2	2	0	0	4	0	0	0	0	0	2	0	2
	aeronaut	AERONAUTICS	2	3	3	4	3	3	3	3	3	2	3	2	3	3	2	2	1	0	1	1	1	2	4	1	3	3	3	3	0	2	2	2	3	0	3	0	3	0	3	1	1	0	1	3	2	2	3	1
	aeronaut	Aeronautics 	3	2	3	3	2	1	1	0	3	2	1	3	3	1	2	3	2	3	2	2	4	3	3	2	2	4	3	4	4	1	2	2	2	1	1	0	3	3	1	3	2	2	2	3	2	4	1	4
	aeronaut	aeronautics	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	2	2	2	2	2	3	4	4	2	2	1	4	2	3	3	3	0	2	3	2	3	2	4	4	2	3	2	1	1	2	1	3
	aeronaut	Aeronautics 	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
	aeronaut	aeronautics	3	1	1	2	2	3	2	3	1	1	0	2	2	2	2	2	0	0	0	1	1	1	3	0	2	1	1	3	2	1	2	1	0	0	1	0	2	0	2	2	0	1	0	2	1	2	1	1
	aeronaut astronaut	aeronautics and astronautics	1	3	3	4	1	3	2	2	1	3	3	3	3	4	3	4	3	2	1	4	3	4	1	1	3	2	2	2	1	1	3	2	0	0	1	1	1	1	0	3	2	2	2	2	4	3	1	2
	aerospac	Aerospace 	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
	aerospac	AEROSPACE	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	1	1	3	0	3	4	4	4	3	3	2	2	3	3	4	2	3	4
	aerospac	Aerospace	2	2	2	4	2	2	4	0	4	4	2	4	2	4	4	4	0	0	0	0	0	2	2	0	4	2	0	0	2	0	0	4	2	2	0	0	2	0	2	4	4	4	4	2	2	4	0	4
	aerospac	Aerospace	4	1	4	4	3	3	4	2	4	1	4	4	4	3	4	3	2	2	3	4	2	2	2	2	3	2	1	3	2	2	3	3	2	2	2	1	4	2	0	2	2	3	3	3	4	3	1	4
	aerospac	Aerospace	2	2	2	4	2	3	2	1	2	2	2	4	2	2	2	1	2	2	2	3	3	2	2	2	3	3	3	2	3	3	4	2	4	4	3	2	3	4	3	3	3	3	2	2	3	3	2	2
	aerospac	Aerospace	1	1	1	2	1	1	1	1	3	4	3	3	2	4	2	2	2	2	2	1	2	2	2	2	1	4	3	2	2	2	2	2	1	3	2	2	0	3	0	3	0	1	2	1	0	1	0	1
	aerospac	aerospace 	2	1	3	1	2	0	1	1	2	2	2	1	2	3	1	1	1	3	3	1	3	1	3	2	3	2	2	3	3	4	3	1	2	2	3	2	2	3	2	3	2	2	2	3	2	1	1	1
	aerospac	Aerospace	2	0	0	3	0	0	0	0	0	3	3	0	3	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	3	0	0	0	0
	aerospac	Aerospace 	2	3	3	3	2	3	3	3	2	3	3	3	3	3	3	1	1	2	2	2	1	2	3	2	0	1	0	2	0	0	0	1	2	2	2	1	2	2	2	2	2	2	2	1	2	3	2	2
	aerospac	aerospace	4	0	4	4	3	3	3	2	4	4	4	4	3	4	3	4	2	3	3	3	4	3	3	2	0	3	0	1	0	0	1	0	0	1	0	0	3	0	0	1	0	4	2	0	4	4	0	1
	aerospac avinoci	Aerospace Avinocis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	aerospac electron	Aerospace Electronics	3	1	0	3	1	1	2	0	4	2	2	3	2	3	2	2	2	2	4	2	3	2	3	1	4	2	2	4	3	2	4	1	3	2	3	1	3	3	4	4	1	2	2	2	2	3	2	2
	aerospac electron	aerospace electronics	0	0	0	3	0	2	4	0	3	0	0	3	3	0	3	4	0	0	0	0	0	3	1	0	4	3	2	3	2	0	1	0	4	1	2	0	3	2	2	0	4	2	3	3	4	3	2	4
	aerospac electron	Aerospace Electronics	3	3	3	4	4	3	4	3	2	3	3	3	3	3	3	3	1	3	1	3	0	4	4	4	2	2	1	4	3	3	3	3	3	1	3	1	4	1	1	4	3	3	3	3	4	4	2	3
	aerospac electron	aerospace electronic	2	2	2	3	2	0	4	1	2	3	3	1	1	2	2	3	1	1	0	0	1	1	0	1	1	3	2	2	2	1	2	4	2	1	2	1	3	1	1	1	2	3	3	1	3	4	4	4
	aerospac engeer	Aerospace Engeering	2	0	0	0	1	2	0	0	2	2	3	3	3	3	3	4	3	3	4	3	2	3	0	3	2	3	2	2	2	2	1	1	0	1	1	1	3	2	0	2	1	2	2	1	3	2	3	1
	aerospac mechatron engin programm	aerospace mechatronics engineering programme	3	2	1	2	2	3	2	2	1	2	1	2	2	2	1	4	2	3	3	2	2	4	1	4	4	3	2	4	2	4	3	3	4	2	3	3	4	4	3	4	3	3	2	3	4	3	3	3
	aerospac technolog	Aerospace Technology	2	2	2	4	1	2	4	2	3	3	2	3	4	3	3	2	0	2	1	2	1	1	4	2	1	1	3	2	3	4	2	2	2	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2
	aerot scientist	aerotic scientist	2	0	0	2	1	1	1	0	4	4	4	4	4	4	4	1	3	3	2	4	1	4	3	1	4	4	4	3	3	2	1	2	2	1	3	3	1	1	0	0	1	3	3	0	0	2	0	1
	aesthet cosmet	aesthetics and cosmetics	3	0	0	2	0	3	1	0	3	2	3	2	3	3	3	1	2	3	3	2	3	4	2	2	2	1	1	3	4	2	3	1	0	0	2	3	3	1	0	2	1	3	2	3	2	2	0	0
	affair	Foreign Affairs 	2	1	0	0	0	0	0	0	0	0	2	2	0	2	0	1	1	0	1	2	4	3	1	1	4	4	2	2	3	3	3	2	3	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1
	affair	Foreign Affairs	2	4	3	2	4	2	4	2	3	4	4	1	4	4	4	4	2	1	2	4	2	3	0	2	3	4	2	0	1	2	1	3	1	2	3	0	3	1	3	3	3	4	4	4	0	4	4	3
	african	African Studies	2	0	0	0	0	0	0	0	4	4	4	3	4	0	0	0	0	4	0	4	4	4	0	0	4	3	4	0	4	4	3	3	4	0	4	3	4	4	0	4	0	0	0	0	4	0	0	0
	african	African studies	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	1	3	0	2	0	0	0	3	4	3	2	3	3	3	2	0	1	2	0	2	1	0	0	1	1	1	1	0	0	0	2
	african	African Studies	3	4	3	4	3	3	3	3	2	2	3	3	3	3	3	3	2	3	2	2	3	2	0	3	1	3	3	2	2	0	2	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4
	african	African studies	0	3	0	0	0	0	0	0	1	0	2	0	0	4	0	0	1	4	4	4	4	4	0	4	4	4	4	2	4	1	3	1	2	2	4	3	2	4	2	3	0	0	0	0	0	0	0	0
	african american	African American Studies	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	3	2	2	3	3	3	0	1	4	3	1	2	2	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
	africana	Africana Studies	1	2	3	3	3	3	1	3	3	2	2	2	2	2	2	1	2	3	4	4	3	3	4	2	4	3	4	3	4	3	3	2	2	1	2	3	2	2	3	2	1	3	2	1	1	2	1	1
	age	Aging	2	1	0	0	0	2	3	1	3	3	3	2	3	2	3	2	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	2	1	1	4	2	1	1
	age care	Aged care	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	2	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	ageo	Ageo science 	1	2	0	3	1	2	1	2	0	1	2	3	1	0	1	2	0	0	2	0	2	2	1	2	4	4	3	3	4	2	2	4	0	1	2	0	4	1	2	1	2	2	3	4	3	2	3	3
	aggress medit class	aggression meditation class	2	4	4	4	4	4	4	4	4	2	2	2	2	1	2	2	2	1	1	3	2	3	3	1	3	4	4	4	4	4	4	4	2	3	4	4	3	4	4	3	3	3	3	4	3	3	2	4
	agribusi	Agribusiness 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	2	0	0	0	2	4	3	0	0	0	0	0	0	2	0	3	2	0	0	2	0	0	4	0
	agribusi	Agribusiness	0	2	0	3	0	3	2	3	4	0	0	1	0	0	0	1	4	4	4	4	4	4	0	4	3	3	3	4	3	3	3	3	0	2	3	3	1	3	0	3	0	1	2	1	2	3	0	3
	agribusi	Agribusiness	1	2	0	2	1	3	1	2	1	3	3	1	2	1	1	1	4	4	2	3	3	4	3	3	4	4	3	3	3	3	3	3	1	0	3	2	1	1	3	3	0	0	0	1	1	1	1	1
